category,item,price,min_price,max_price
Childcare,Price per Square Feet to Buy Apartment in City Centre,108.84 $,104.11,113.57
Childcare,Price per Square Feet to Buy Apartment Outside of Centre,136.70 $,94.64,189.28
Childcare,Average Monthly Net Salary (After Tax),671.72 $,N/A,N/A
Childcare,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",11.42,10.00,11.50
Clothing And Shoes,"Meal, Inexpensive Restaurant",10.19 $,6.11,20.00
Clothing And Shoes,"Meal for 2 People, Mid-range Restaurant, Three-course",50.94 $,25.47,100.00
Clothing And Shoes,McMeal at McDonalds (or Equivalent Combo Meal),9.68 $,9.17,10.00
Clothing And Shoes,Domestic Beer (1 pint draught),2.29 $,1.07,4.58
Clothing And Shoes,Imported Beer (12 oz small bottle),4.28 $,3.06,6.62
Clothing And Shoes,Cappuccino (regular),3.33 $,1.27,5.81
Clothing And Shoes,Coke/Pepsi (12 oz small bottle),1.46 $,1.02,2.80
Clothing And Shoes,Water (12 oz small bottle),1.17 $,0.66,2.55
Clothing And Shoes,"Milk (regular), (1 gallon)",5.15 $,4.43,5.40
Clothing And Shoes,Loaf of Fresh White Bread (1 lb),2.25 $,1.34,2.86
Clothing And Shoes,"Rice (white), (1 lb)",0.75 $,0.46,0.87
Clothing And Shoes,Eggs (regular) (12),2.27 $,1.68,3.06
Clothing And Shoes,Local Cheese (1 lb),4.29 $,2.77,7.00
Clothing And Shoes,Chicken Fillets (1 lb),2.85 $,2.00,3.47
